category_id,source_site,source_category_level_1,source_category_level_2,source_category_level_3,category_type,blacklist_reason,source_category_url
SS00188,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Boileri,normal,,https://ss.lv/lv/electronics/home-appliances/water-heaters/
SS00189,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Elektriskie radiatori,normal,,https://ss.lv/lv/electronics/home-appliances/electric-heaters/
SS00190,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Elektriskie sildītāji,normal,,https://ss.lv/lv/electronics/home-appliances/electric-heaters-portable/
SS00191,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Eļļas radiatori,normal,,https://ss.lv/lv/electronics/home-appliances/oil-heaters/
SS00192,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Filtri un ūdens attīrītāji,normal,,https://ss.lv/lv/electronics/home-appliances/water-filters/
SS00193,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Gaisa aromātiztāji,normal,,https://ss.lv/lv/electronics/home-appliances/air-fresheners/
SS00194,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Gaisa filtri,normal,,https://ss.lv/lv/electronics/home-appliances/air-filters/
SS00195,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Gaisa jonizētāji,normal,,https://ss.lv/lv/electronics/home-appliances/air-ionizers/
SS00196,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Gaisa mitrinātāji,normal,,https://ss.lv/lv/electronics/home-appliances/humidifiers/
SS00197,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Infrasarkanie silditāji,normal,,https://ss.lv/lv/electronics/home-appliances/infrared-heaters/
SS00198,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Kondicionieri,normal,,https://ss.lv/lv/electronics/home-appliances/air-conditioners/
SS00199,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Mitruma nosūcēji,normal,,https://ss.lv/lv/electronics/home-appliances/dehumidifiers/
SS00200,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Ūdens miksētāji,normal,,https://ss.lv/lv/electronics/home-appliances/water-mixers/
SS00201,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Ventilatori,normal,,https://ss.lv/lv/electronics/home-appliances/fans/
SS00202,ss.lv,Elektrotehnika,Gaisa un ūdens kopšana,Cits,normal,,https://ss.lv/lv/electronics/home-appliances/air-water-other/
SS00203,ss.lv,Elektrotehnika,Sadzīves tehnika,GPS navigācija,normal,,https://ss.lv/lv/electronics/other/gps/
SS00204,ss.lv,Elektrotehnika,Dažādi un remonts,Spuldzes,normal,,https://ss.lv/lv/electronics/other/bulbs/
SS00205,ss.lv,Elektrotehnika,Dažādi un remonts,"Barošanas bloki, draiveri, kontrolieri",normal,,https://ss.lv/lv/electronics/other/power-supplies/
SS00206,ss.lv,Elektrotehnika,Dažādi un remonts,LED profili un lentas,normal,,https://ss.lv/lv/electronics/other/led-strips/
SS00207,ss.lv,Elektrotehnika,Dažādi un remonts,"Vieda māja, Arduino, Raspberry PI",normal,,https://ss.lv/lv/electronics/other/smart-home/
SS00208,ss.lv,Elektrotehnika,Dažādi un remonts,Kabeļi un aksesuāri,normal,,https://ss.lv/lv/electronics/other/cables/
SS00209,ss.lv,Elektrotehnika,Dažādi un remonts,Tālvadības pultis,normal,,https://ss.lv/lv/electronics/other/remotes/
SS00210,ss.lv,Elektrotehnika,Dažādi un remonts,"Radiācijas mērītāji, dozimetri",normal,,https://ss.lv/lv/electronics/other/radiation-meters/
SS00211,ss.lv,Elektrotehnika,Dažādi un remonts,"Radio detaļas, mikroshēmas",normal,,https://ss.lv/lv/electronics/other/radio-parts/
SS00212,ss.lv,Elektrotehnika,Dažādi un remonts,Datoru remonts,blacklisted,repairs,https://ss.lv/lv/electronics/other/computer-repairs/
SS00213,ss.lv,Elektrotehnika,Dažādi un remonts,Elektronīkas remonts,blacklisted,repairs,https://ss.lv/lv/electronics/other/electronics-repairs/
SS00214,ss.lv,Elektrotehnika,Dažādi un remonts,Hidroelektrostacijas,normal,,https://ss.lv/lv/electronics/other/hydro-stations/
SS00215,ss.lv,Elektrotehnika,Dažādi un remonts,Saules elektrostacijas,normal,,https://ss.lv/lv/electronics/other/solar-stations/
SS00216,ss.lv,Elektrotehnika,Dažādi un remonts,Vēja ģeneratori,normal,,https://ss.lv/lv/electronics/other/wind-generators/
SS00217,ss.lv,Elektrotehnika,Dažādi un remonts,Dažādi,normal,,https://ss.lv/lv/electronics/other/misc/
